"Name","Age","Level","Team","G","GS","W","L","IP","SV","SO","SO9","ERA","WHIP","ER","R","H","BB","Pit"
"David Bednar",28,"Maj-NL","Pittsburgh",11,0,2,0,11,8,14,11.5,0.82,0.818,1,2,8,1,150
"Josh Hader",29,"Maj-NL","San Diego",11,0,0,0,11,8,16,13.1,0.82,0.636,1,1,3,4,191
"Jordan Romano",30,"Maj-AL","Toronto",11,0,2,1,10.1,8,12,10.5,3.48,1.355,4,4,10,4,167
"Emmanuel Clase",25,"Maj-AL","Cleveland",12,0,1,1,12,7,8,6,2.25,1,3,4,8,4,166
"Paul Sewald",33,"Maj-AL","Seattle",12,0,1,0,12,6,15,11.3,3,0.75,4,4,6,3,189
"Félix Bautista",28,"Maj-AL","Baltimore",11,0,2,1,10.2,5,19,16,1.69,1.031,2,5,8,3,178
"Jhoan Duran",25,"Maj-AL","Minnesota",8,0,0,0,7.1,5,10,12.3,2.45,0.818,2,2,4,2,119
"Kenley Jansen",35,"Maj-AL","Boston",7,0,1,0,7,5,11,14.1,0,0.857,0,0,4,2,107
"A.J. Minter",29,"Maj-NL","Atlanta",11,0,1,2,11,4,11,9,5.73,1.182,7,7,10,3,188
"David Robertson",38,"Maj-NL","New York",9,0,0,0,9.1,4,10,9.6,0.96,0.75,1,1,5,2,129
"A.J. Puk",28,"Maj-NL","Miami",8,0,1,0,9,4,9,9,1,0.889,1,2,6,2,139
"Clay Holmes",30,"Maj-AL","New York",9,0,0,1,8.2,4,11,11.4,4.15,1.385,4,4,7,5,145
"José Quijada",27,"Maj-AL","Los Angeles",9,0,0,1,8.2,4,8,8.3,5.19,0.923,5,5,5,3,141
"Kyle Finnegan",31,"Maj-NL","Washington",8,0,0,1,7.1,4,4,4.9,8.59,1.909,7,8,9,5,140
"José Alvarado",28,"Maj-NL","Philadelphia",10,0,0,0,10.1,3,20,17.4,0.87,0.484,1,1,5,0,154
"Carlos Estévez",30,"Maj-AL","Los Angeles",10,0,0,1,10,3,11,9.9,1.8,1.4,2,3,8,6,186
"Reynaldo López",29,"Maj-AL","Chicago",11,0,0,2,9.2,3,16,14.9,8.38,1.759,9,9,12,5,203
"Andrew Chafin",33,"Maj-NL","Arizona",11,0,2,0,9.1,3,14,13.5,2.89,1.179,3,3,7,4,144
"Pierce Johnson",32,"Maj-NL","Colorado",9,0,0,1,8.2,3,13,13.5,4.15,1.846,4,4,9,7,177
"Ryan Helsley",28,"Maj-NL","St. Louis",7,0,0,1,8.2,3,12,12.5,2.08,1.385,2,2,8,4,146
"Adam Ottavino",37,"Maj-NL","New York",9,0,0,1,8,3,9,10.1,2.25,1.125,2,2,6,3,149
"Devin Williams",28,"Maj-NL","Milwaukee",7,0,2,0,7,3,12,15.4,0,1,0,0,4,3,121
"Pete Fairbanks",29,"Maj-AL","Tampa Bay",7,0,0,0,7,3,5,6.4,0,0.857,0,0,3,3,85
"Bryse Wilson",25,"Maj-NL","Milwaukee",7,0,1,0,15.1,2,17,10,1.17,1.044,2,3,10,6,248
"Bryan Abreu",26,"Maj-AL","Houston",12,0,0,0,12.1,2,19,13.9,0.73,0.892,1,1,5,6,203
"Jeurys Familia",33,"Maj-AL","Oakland",11,0,0,0,11,2,5,4.1,5.73,1.636,7,10,9,9,204
"Alex Lange",27,"Maj-AL","Detroit",11,0,1,0,11,2,11,9,1.64,0.909,2,2,5,5,169
"Duane Underwood Jr.",28,"Maj-NL","Pittsburgh",10,0,1,0,10.1,2,8,7,3.48,1.161,4,4,11,1,138
"Craig Kimbrel",35,"Maj-NL","Philadelphia",10,0,0,0,9,2,11,11,5,1.556,5,5,8,6,143
"Camilo Doval",25,"Maj-NL","San Francisco",8,0,1,2,9,2,13,13,3,1.222,3,6,6,5,144
"Will Smith",33,"Maj-AL","Texas",9,0,0,1,8.1,2,10,10.8,2.16,0.96,2,2,5,3,137
"Scott Barlow",30,"Maj-AL","Kansas City",8,0,0,2,7.2,2,10,11.7,8.22,1.826,7,8,8,6,144
"Evan Phillips",28,"Maj-NL","Los Angeles",8,0,0,0,7,2,8,10.3,3.86,1.143,3,3,7,1,102
"Alexis Díaz",26,"Maj-NL","Cincinnati",8,0,1,1,7,2,14,18,3.86,0.571,3,3,2,2,108
"Drey Jameson",25,"Maj-NL","Arizona",6,3,2,1,17,1,16,8.5,3.71,1.529,7,7,14,12,298
"Tucker Davidson",27,"Maj-AL","Los Angeles",6,0,1,1,15,1,15,9,2.4,1.133,4,4,12,5,222
"Ryan Brasier",35,"Maj-AL","Boston",13,0,1,0,13.1,1,11,7.4,6.75,1.5,10,11,14,6,252
"Andre Jackson",27,"Maj-NL","Los Angeles",5,0,0,0,11.1,1,10,7.9,7.94,1.677,10,10,17,2,205
"Tyler Rogers",32,"Maj-NL","San Francisco",9,0,0,0,11.1,1,11,8.7,0.79,0.618,1,1,5,2,135
"Scott McGough",33,"Maj-NL","Arizona",11,0,0,2,11,1,11,9,4.91,1,6,6,8,3,167
"Brusdar Graterol",24,"Maj-NL","Los Angeles",10,0,0,1,10.2,1,10,8.4,2.53,1.031,3,3,10,1,138
"Nick Anderson",32,"Maj-NL","Atlanta",10,0,1,0,10.2,1,14,11.8,4.22,0.938,5,5,9,1,169
"Eli Morgan",27,"Maj-AL","Cleveland",8,0,1,0,10.1,1,12,10.5,0,1.258,0,1,11,2,177
"Trevor Stephan",27,"Maj-AL","Cleveland",11,0,1,0,10.1,1,12,10.5,1.74,1.258,2,2,9,4,175
"Hector Neris",34,"Maj-AL","Houston",9,0,2,1,10.1,1,12,10.5,2.61,0.871,3,4,7,2,152
"Adam Cimber",32,"Maj-AL","Toronto",11,0,0,0,10,1,6,5.4,4.5,1.2,5,5,8,4,159
